0,PS No & Name,Address,Lattitute & Logitude
1,1 - Redgaon Bk. ,"Zilla Parishad Primary School, Room No.2 from south ,Redgaon Bk ","20°13'06.7""N 74°05'33.0""E"
2,2 - Gorthan ,"Zilla Parishad Primary School, New North- South Building, Room No.1 from South, Gorthan ","20°12'20.4""N 74°03'56.6""E"
3,3 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.1 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
4,4 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.4 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
5,5 - Shirwade Vani ,"Zilla Parishad Primary School, Room No.5 from North, Shirvadevani ","20°12'55.3""N 74°03'00.5""E"
6,6 - Pachore Vani ,"Zilla Parishad Primary School, Room No.1 from South, Pachorevani ","20°12'10.3""N 74°01'23.0""E"
7,7 - Pachore Vani ,"Zilla Parishad Primary School, Room No.3 from South, Pachorevani ","20°12'10.3""N 74°01'23.0""E"
8,8 - Mukhed ,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Room No.1 from North, Mukhed ","20°12'36.8""N 73°58'48.9""E"
9,9 - Mukhed ,"Zilla Parishad Primary School, New Building, Pimpalgaon-Mukhed Road, Hexagonal Separate Room,Mukhed ","20°12'36.8""N 73°58'48.9""E"
10,10 - Antarweli ,"Zilla Parishad Primary School, Room No.1, from East, Anterveli ","20°12'16.6""N 73°58'19.7""E"
11,11 - Wavi ,"Zilla Parishad Primary School, East West Building Room No.3 From East Side, Wavi ","20°12'11.8""N 74°04'47.5""E"
12,12 - Wavi ,"Zilla Parishad Primary School, East West Building Room No.5 From East Side, Wavi ","20°12'11.8""N 74°04'47.5""E"
13,13 - Nandur Khurd ,"Zilla Parishad Primary School, Room No.3 from South, Nandur khurd ","20°12'36.4""N 74°06'21.5""E"
14,14 - Sawargaon ,"Zilla Parishad Primary School,East-West Buliding, Room No.2 from east, Sawargaon ","20°11'41.0""N 74°06'59.6""E"
15,15 - Sawargaon ,"Zilla Parishad Primary School,East-West Buliding, Room No.4 from east, Sawargaon ","20°11'41.0""N 74°06'59.6""E"
16,16 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.1 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
17,17 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.3 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
18,18 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.5 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
19,19 - Palkhed ,"Zilla Parishad Primary School, South-North Building, Room No.6 from North, Palkhed ","20°10'37.8""N 74°03'41.4""E"
20,20 - Ahergaon ,"Zilla Parishad Primary School, Room No.2 From North Side, Ahergaon ","20°10'46.7""N 74°01'16.4""E"
21,21 - Ahergaon ,"Zilla Parishad Primary School, Room No.6 from North, Ahergaon ","20°10'46.7""N 74°01'16.4""E"
22,22 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. East Wing, Room No.3 From South Pimpalgaon B. ","20°09'58.5""N 73°59'17.2""E"
23,23 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. West Wing, Room No.2 From South Pimpalgaon B. ","20°09'58.5""N 73°59'17.2""E"
24,24 - Pimpalgaon (B.) ,"Zilla parishad primary School opp. Govt. Hospital Building No.1, East Side south-North Building Room No. 4 from South, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
25,25 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.5 from South, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
26,26 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.3 from North, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
27,27 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.1, East Side South-North Building, Room No.1 from North, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
28,28 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt. Hospital, Building No.2, North Side East-West Building, Room No.2 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
29,29 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From West","20°09'58.5""N 73°59'17.2""E"
30,30 - Pimpalgaon (B.) ,"Late M.L. / Nanasaheb Jadhav Girls Highschool, Pimpalgaon B. South Wing, Near Porch, Room No.1 From East","20°09'58.5""N 73°59'17.2""E"
31,31 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.4 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
32,32 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.6 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
33,33 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Building No.2, Opp. Govt. Hospital, North Side East-West Building, Room No.8 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
34,34 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.1 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
35,35 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Opp. Govt.Hospital, Building No.3, South Side East-West Building, Room No.3 from East, Pimpalgaon B. ","20°09'57.5""N 73°59'16.2""E"
36,36 - Pimpalgaon (B.) ,"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.1 from South, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
37,37 - Pimpalgaon (B.) ,"Janta Vidyalaya, Adarsh Shishu Vihar, Room No.2 from South, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
38,38 - Pimpalgaon (B.) ,"Janta Vidyalaya , Room No.1 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
39,39 - Pimpalgaon (B.) ,"Janta Vidyalaya , Room No.2 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
40,40 - Pimpalgaon (B.) ,"Janata Vidhyalay, Room No.3 from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
41,41 - Pimpalgaon (B.) ,"Janata Vidyalay, Room No.5, from East, Pimpalgaon B. ","20°09'56.5""N 73°59'04.6""E"
42,42 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.1 From East, Pimpalgaon (B) ","20°09'59.5""N 73°59'18.2""E"
43,43 - Pimpalgaon (B.) ,"Zilla Parishad Primary School, Sainagar, Chinchkhed road, Pimpalgaon B, East Side RCC Building, Room No.3 From East, Pimpalgaon (B) ","20°09'59.5""N 73°59'18.2""E"
